ball_possession,total_shots,shots_on_target,big_chances,big_chances_missed,accurate_passes,accurate_passes_percent,fouls_committed,corners,total_shots,shots_off_target,shots_on_target,blocked_shots,hit_woodwork,shots_inside_box,shots_outside_box,passes,accurate_passes,accurate_passes_percent,own_half_passes,opposition_half_passes,accurate_long_balls,accurate_long_balls_percent,accurate_crosses,accurate_crosses_percent,throws,touches_in_opp_box,offsides,yellow_cards,red_cards,tackles_won,tackles_won_percent,interceptions,blocks,clearances,keeper_saves,duels_won,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,successful_dribbles,successful_dribbles_percent,result,first_half_goals,full_time_goals
0.36,11,3,0,0,125,0.77,4,2,11,6,3,2,2,4,7,163,125,0.77,70,55,6,0.4,4,0.57,16,NULL,1,0,0,5,0.42,6,5,8,1,25,22,0.45,3,0.43,3,0.38,L,0,0
0.46,5,2,1,1,147,0.76,5,3,5,2,2,1,0,5,0,193,147,0.76,96,51,8,0.4,3,0.43,11,NULL,0,0,0,5,0.56,8,0,8,3,25,17,0.49,8,0.5,6,0.55,L,0,0
0.54,6,5,0,0,184,0.81,3,3,6,1,5,0,1,3,3,228,184,0.81,123,61,14,0.58,4,0.31,16,NULL,0,0,0,4,0.44,5,1,6,2,26,18,0.51,8,0.5,4,0.5,W,2,2
0.64,4,2,0,0,181,0.78,6,4,4,0,2,2,0,2,2,231,181,0.78,96,85,17,0.47,2,0.25,23,NULL,3,0,0,6,0.6,4,1,9,1,25,18,0.51,7,0.54,3,0.38,L,0,0
0.36,5,2,1,0,82,0.66,5,0,5,2,2,1,0,3,2,124,82,0.66,43,39,10,0.38,3,0.43,17,NULL,1,0,0,7,0.7,4,2,14,2,23,17,0.49,6,0.46,1,0.2,W,1,2
0.34,1,1,1,0,123,0.71,5,2,1,0,1,0,0,1,0,174,123,0.71,83,40,6,0.29,1,0.2,11,NULL,0,0,1,10,0.91,2,3,7,0,23,16,0.48,7,0.5,0,0,T,1,1
0.66,7,1,2,1,301,0.86,5,2,7,3,1,3,1,5,2,349,301,0.86,215,86,10,0.42,0,0,7,NULL,1,0,0,6,0.86,4,0,5,0,24,17,0.52,7,0.5,5,0.38,T,1,1
0.57,10,3,2,2,195,0.8,6,2,10,3,3,4,1,8,2,245,195,0.8,87,108,14,0.58,3,0.23,7,NULL,1,0,0,9,0.82,3,1,9,2,30,22,0.47,8,0.62,3,0.27,L,0,0
0.43,5,3,0,0,130,0.7,8,0,5,1,3,1,0,3,2,185,130,0.7,93,37,8,0.28,1,0.2,13,NULL,1,1,0,9,0.64,3,4,17,3,30,25,0.53,5,0.38,5,0.5,W,1,1
0.51,9,3,1,0,154,0.78,3,4,9,2,3,4,0,2,7,197,154,0.78,77,77,8,0.38,4,0.21,13,NULL,1,0,0,2,0.4,4,0,2,1,22,17,0.55,5,0.56,5,0.63,W,1,3
0.49,5,3,3,2,165,0.81,8,0,5,2,3,0,0,4,1,204,165,0.81,101,64,8,0.33,2,0.5,11,NULL,0,0,0,4,0.5,7,4,18,2,18,14,0.45,4,0.44,3,0.43,L,2,2
0.53,8,1,0,0,160,0.78,4,3,8,3,1,4,0,5,3,205,160,0.78,78,82,14,0.52,4,0.5,5,14,1,0,0,6,0.75,0,0,14,1,24,17,0.5,7,0.44,3,0.75,T,0,0
0.47,5,1,0,0,144,0.8,6,2,5,4,1,0,0,5,0,179,144,0.8,97,47,8,0.33,4,0.4,7,12,1,1,0,2,0.4,6,4,8,1,26,17,0.5,9,0.56,8,0.73,T,0,0
0.48,6,1,0,0,172,0.82,3,2,6,4,1,1,1,3,3,209,172,0.82,84,88,14,0.52,1,0.09,11,NULL,2,0,0,5,0.56,7,2,17,1,23,19,0.51,4,0.5,5,0.71,W,0,1
0.52,3,1,0,0,176,0.78,5,3,3,0,1,2,0,0,3,226,176,0.78,88,88,15,0.52,1,0.13,13,NULL,2,0,0,7,1,3,1,11,1,22,18,0.49,4,0.5,8,0.57,L,0,0
0.64,7,1,1,1,245,0.85,6,2,7,5,1,1,0,4,3,289,245,0.85,134,111,5,0.28,1,0.09,13,NULL,1,0,0,6,0.86,6,0,7,0,25,21,0.58,4,0.57,10,1,T,0,0
0.36,2,0,0,0,122,0.75,4,3,2,2,0,0,0,1,1,162,122,0.75,88,34,7,0.3,1,0.14,14,NULL,2,0,0,5,0.56,8,2,14,0,18,15,0.42,3,0.43,0,0,T,0,0
0.58,11,4,2,0,190,0.86,4,2,11,3,4,4,1,7,4,220,190,0.86,115,75,14,0.74,1,0.15,12,NULL,1,0,0,3,0.5,5,1,6,1,15,0,0,1,1,4,0.57,W,3,6
0.42,4,2,1,0,117,0.71,4,1,4,1,2,1,0,2,2,165,117,0.71,72,45,6,0.3,0,0,7,NULL,0,1,0,6,1,2,4,16,1,14,0,0,0,0,4,0.67,L,2,3
0.43,12,4,1,1,110,0.73,3,2,12,6,4,2,1,9,3,150,110,0.73,59,51,10,0.31,1,0.11,12,NULL,0,0,0,5,0.5,7,1,16,4,28,18,0.58,10,0.5,5,0.56,L,1,1
0.57,5,4,1,1,156,0.77,4,6,5,0,4,1,0,3,2,203,156,0.77,90,0.66,17,0.5,4,0.25,19,NULL,0,1,0,7,0.88,4,2,8,3,23,13,0.42,10,0.5,2,0.5,W,0,2
0.41,8,5,0,0,142,0.78,2,3,8,2,5,1,0,7,1,182,142,0.78,87,55,16,0.52,2,0.18,9,NULL,2,1,0,4,0.8,4,0,10,3,19,13,0.5,6,0.67,4,0.8,W,2,5
0.59,3,3,0,0,214,0.8,4,1,3,0,3,0,0,2,1,267,214,0.8,127,87,16,0.46,2,0.33,16,NULL,0,0,0,8,0.89,7,1,5,3,16,13,0.5,3,0.33,2,0.67,L,0,1
0.52,0,0,0,0,189,0.82,8,2,0,0,0,0,0,0,0,231,189,0.82,130,59,8,0.38,0,0,9,NULL,0,0,0,3,0.6,2,2,13,2,10,9,0.29,1,0.2,1,0.14,L,0,0
0.48,7,3,1,1,170,0.83,3,3,7,3,3,1,1,5,2,205,170,0.83,107,63,6,0.38,2,0.17,13,NULL,3,1,0,8,0.8,5,0,5,0,26,22,0.71,4,0.8,4,0.57,W,0,3
0.49,3,2,2,0,166,0.73,10,0,3,1,2,0,0,2,1,228,166,0.73,99,67,6,0.22,0,0,13,NULL,0,1,0,3,0.38,6,3,8,1,19,16,0.38,3,0.33,6,0.55,T,2,2
0.51,6,3,2,2,170,0.73,2,1,6,1,3,2,0,6,0,233,170,0.73,115,55,15,0.45,2,0.4,14,NULL,1,0,0,6,0.67,4,0,6,0,32,26,0.62,6,0.67,9,0.69,T,2,2
0.45,9,2,0,0,137,0.77,4,4,9,4,2,3,0,8,1,177,137,0.77,78,59,8,0.38,4,0.33,10,NULL,2,0,0,7,0.54,3,3,7,2,38,29,0.64,9,0.9,6,0.5,W,0,1
0.55,8,2,0,0,175,0.79,10,3,8,3,2,3,1,4,4,222,175,0.79,114,61,9,0.38,2,0.25,10,NULL,0,1,0,5,0.5,3,3,10,2,17,16,0.36,1,0.1,2,0.33,L,0,0
0.47,15,8,3,2,176,0.8,5,2,15,3,8,4,0,11,4,221,176,0.8,112,64,6,0.33,2,0.33,6,NULL,0,1,0,4,0.5,8,2,6,2,18,15,0.47,3,0.6,5,0.83,W,1,2
0.53,5,2,0,0,216,0.86,4,3,5,1,2,2,0,3,2,250,216,0.86,111,105,6,0.35,7,0.5,10,NULL,1,0,0,3,0.6,7,4,13,7,19,17,0.53,2,0.4,7,0.7,L,0,0
0.33,4,3,1,1,105,0.7,4,1,4,1,3,0,0,3,1,150,105,0.7,71,34,11,0.48,3,0.75,8,NULL,0,0,1,6,0.86,3,1,11,2,21,0,0,7,1,5,0.71,L,0,0
0.67,9,3,1,0,276,0.88,2,1,9,5,3,1,0,8,1,312,276,0.88,125,151,11,0.42,2,0.38,12,NULL,3,0,0,4,1,5,1,8,2,10,0,0,0,0,2,0.67,W,1,1
0.46,2,1,0,0,153,0.76,4,0,2,1,1,0,0,1,1,202,153,0.76,93,60,18,0.55,1,0.11,14,6,0,0,0,5,0.71,1,1,13,0,28,18,0.62,10,0.67,2,0.4,W,0,1
0.54,3,0,0,0,198,0.82,9,2,3,2,0,1,0,3,0,242,198,0.82,117,81,14,0.5,1,0.11,14,10,0,0,0,4,0.8,3,0,8,1,16,11,0.38,5,0.33,3,0.6,L,0,0
0.54,1,0,0,0,202,0.77,2,1,1,1,0,0,0,1,0,261,202,0.77,162,40,11,0.46,2,0.4,16,3,0,0,0,8,0.5,12,1,7,0,31,27,0.64,4,0.4,5,0.45,L,0,0
0.46,6,1,1,1,166,0.72,6,0,6,4,1,1,0,3,3,229,166,0.72,114,52,8,0.33,0,0,19,8,2,2,0,9,0.82,7,0,6,0,21,15,0.36,6,0.6,2,0.5,W,0,2
0.38,3,2,0,0,115,0.68,7,2,3,1,2,0,0,2,1,168,115,0.68,80,35,13,0.41,1,0.17,17,6,2,0,0,8,0.8,5,1,7,1,24,19,0.51,5,0.83,4,0.67,T,0,0
0.62,6,1,0,0,220,0.81,5,2,6,4,1,1,0,3,3,271,220,0.81,139,81,15,0.45,3,0.43,17,13,0,1,0,5,0.56,5,0,8,2,19,18,0.49,1,0.17,2,0.2,T,0,0
0.51,2,0,0,0,178,0.79,6,3,2,0,0,2,0,2,0,224,178,0.79,122,56,14,0.48,1,0.1,11,6,0,0,0,1,0.25,4,0,12,3,14,0,0,0,0,2,0.33,L,0,0
0.49,4,3,0,0,174,0.81,8,3,4,1,3,0,0,2,2,214,174,0.81,79,95,15,0.52,0,0,15,7,0,0,0,4,0.67,4,2,9,0,23,0,0,8,1,4,0.8,W,0,1
0.45,2,1,1,0,138,0.72,1,1,2,0,1,1,0,1,1,191,138,0.72,90,48,12,0.39,0,0,11,3,3,0,0,5,0.63,2,0,5,0,23,17,0.57,6,0.67,6,0.67,L,1,1
0.55,6,2,1,0,198,0.8,5,1,6,4,2,0,2,5,1,146,198,0.8,137,61,17,0.49,2,0.5,11,9,0,0,0,3,0.6,3,1,11,0,16,13,0.43,3,0.33,7,0.88,W,2,2
